Date_Cleaned,Asset_ID,Equipment_Type,Client_Name,Deployment_Location,Daily_Rate_NGN,Running_Hours,Fuel_Liters,Status,Maintenance_Priority
2024-06-15,NSP-5911,Towing Winch,ExxonMobil,Escravos,5191500.0,202.47,370.47,Deployed,Normal
2024-06-15,NSP-1225,Pipe Tracker,Indigenous Oil Co,Offshore Rig Alpha,1545.0,216.26,451.4,Deployed,Normal
2024-06-15,NSP-4420,Pipe Tracker,Shell (SPDC),Offshore Rig Alpha,5430000.0,60.84,386.5,Deployed,Normal
2024-06-07,NSP-7709,Offshore Trash Skip,Chevron,Escravos,2220000.0,137.84,217.7,Awaiting Repair,Normal
2024-06-15,NSP-9716,120kva Generator,ExxonMobil,Milaha Barge,654.0,172.49,238.5,Standby,Normal
2024-06-15,NSP-1853,VideoRay Pro 4 ROV,TotalEnergies,Onne FOT,7492500.0,151.22969924812028,310.5,In Maintenance,Normal
2024-05-04,NSP-6222,Cargo Basket,ExxonMobil,Offshore Rig Alpha,3322500.0,50.42,172.2,Deployed,Normal
2024-06-15,NSP-6177,Pipe Tracker,Chevron,Forcados Terminal,4864.0,152.66779069767443,229.5,In Maintenance,Normal
2024-06-15,NSP-4343,Towing Winch,Indigenous Oil Co,Forcados Terminal,3246000.0,165.89,346.62,In Maintenance,Normal
2024-03-16,NSP-7617,Pipe Tracker,Indigenous Oil Co,Bonny Island,0.0,152.66779069767443,190.1,Deployed,Normal
2024-06-15,NSP-9527,Cargo Basket,Chevron,Onne FOT,0.0,150.09,357.8,Awaiting Repair,Normal
2024-06-15,NSP-4913,VideoRay Pro 5 ROV,TotalEnergies,Bonny Island,2068.0,187.8,223.7,Deployed,Normal
2024-04-04,NSP-4267,VideoRay Pro 4 ROV,Chevron,Forcados Terminal,0.0,151.22969924812028,416.58,In Maintenance,Normal
2024-06-15,NSP-2571,Towing Winch,Chevron,Onne FOT,3308.0,126.77,309.2,Standby,Normal
2024-05-30,NSP-1395,Sub Sea ROV M8,Indigenous Oil Co,Onne FOT,4266.0,215.27,453.0,Standby,Normal
2024-10-10,NSP-2167,Offshore Trash Skip,Shell (SPDC),Forcados Terminal,643.0,151.05,352.6,Deployed,Normal
2024-12-25,NSP-2191,Cargo Basket,Chevron,Onne FOT,1232.0,170.65,95.4,In Maintenance,Normal
2024-12-07,NSP-4141,Sub Sea ROV M8,ExxonMobil,Escravos,4219.0,121.81,476.3,Deployed,Normal
2024-06-15,NSP-4072,Cargo Basket,TotalEnergies,Forcados Terminal,4634.0,222.19,395.2,Awaiting Repair,Normal
2024-06-15,NSP-5175,VideoRay Pro 4 ROV,Indigenous Oil Co,Escravos,1428.0,151.22969924812028,486.54,Awaiting Repair,Normal
2024-06-15,NSP-9549,Offshore Trash Skip,ExxonMobil,Bonny Island,1756.0,221.84,481.77,Deployed,Normal
2024-06-15,NSP-7132,Cargo Basket,ExxonMobil,Forcados Terminal,1558500.0,114.92,364.2,Awaiting Repair,Normal
2025-01-31,NSP-8449,Pipe Tracker,Shell (SPDC),Offshore Rig Alpha,755.0,88.41,399.9,Standby,Normal
2024-07-04,NSP-2460,Pipe Tracker,Indigenous Oil Co,Forcados Terminal,1356000.0,159.48,499.9,Deployed,Normal
2024-03-23,NSP-1249,Sub Sea ROV M8,Chevron,Offshore Rig Alpha,2548.0,185.58,211.47,In Maintenance,Normal
2024-06-15,NSP-2252,VideoRay Pro 4 ROV,Indigenous Oil Co,Offshore Rig Alpha,1332000.0,93.77,266.0,In Maintenance,Normal
2024-04-12,NSP-8730,VideoRay Pro 5 ROV,Shell (SPDC),Forcados Terminal,1858.0,160.01,228.4,Deployed,Normal
2024-02-07,NSP-2906,Cargo Basket,Shell (SPDC),Escravos,5296500.0,41.46,144.1,In Maintenance,Normal
2024-06-15,NSP-5777,Offshore Trash Skip,Indigenous Oil Co,Offshore Rig Alpha,3766.0,153.8,419.8,Deployed,Normal
2024-12-05,NSP-7493,Cargo Basket,TotalEnergies,Forcados Terminal,2468.0,146.33287234042555,409.7,Deployed,Normal
2024-06-15,NSP-6126,VideoRay Pro 4 ROV,TotalEnergies,Offshore Rig Alpha,3266.0,188.44,373.65,Standby,Normal
2024-09-30,NSP-7229,120kva Generator,Chevron,Offshore Rig Alpha,5379000.0,110.98,303.8,Awaiting Repair,Normal
2024-06-15,NSP-3472,Towing Winch,Indigenous Oil Co,Offshore Rig Alpha,566.0,228.14,313.9,Awaiting Repair,Normal
2024-06-15,NSP-7986,Rhino Boat,Shell (SPDC),Escravos,0.0,177.78,214.4,Standby,Normal
2024-06-15,NSP-1846,Rhino Boat,TotalEnergies,Milaha Barge,967.0,121.16,350.9,Standby,Normal
2024-05-12,NSP-2828,Cargo Basket,TotalEnergies,Bonny Island,3465000.0,187.77,368.3,Deployed,Normal
2024-06-09,NSP-2994,VideoRay Pro 5 ROV,TotalEnergies,Offshore Rig Alpha,1140000.0,200.31,356.7,Standby,Normal
2024-06-15,NSP-6951,VideoRay Pro 4 ROV,Indigenous Oil Co,Escravos,875.0,121.16,466.9,Deployed,Normal
2024-11-11,NSP-7943,Pipe Tracker,TotalEnergies,Forcados Terminal,3398.0,193.56,417.5,In Maintenance,Normal
2024-06-15,NSP-9389,VideoRay Pro 4 ROV,TotalEnergies,Escravos,1748.0,151.22969924812028,153.1,Awaiting Repair,Normal
2024-06-15,NSP-5612,VideoRay Pro 4 ROV,TotalEnergies,Milaha Barge,1754.0,191.41,114.48,Deployed,Normal
2024-06-15,NSP-3674,Offshore Trash Skip,TotalEnergies,Bonny Island,3728.0,200.49,397.5,Awaiting Repair,Normal
2024-09-10,NSP-1984,Offshore Trash Skip,Shell (SPDC),Bonny Island,3419.0,182.72,313.8,Standby,Normal
2024-06-15,NSP-8196,Offshore Trash Skip,Shell (SPDC),Offshore Rig Alpha,4376.0,147.22,323.0,Standby,Normal
2024-10-28,NSP-9393,Sub Sea ROV M8,ExxonMobil,Onne FOT,1705.0,97.27,220.7,Deployed,Normal
2024-06-15,NSP-5971,Offshore Trash Skip,TotalEnergies,Escravos,2622.0,113.53,463.3,In Maintenance,Normal
2024-06-28,NSP-2759,Sub Sea ROV M8,Indigenous Oil Co,Offshore Rig Alpha,4880.0,161.87068493150682,498.6,Standby,Normal
2024-07-29,NSP-7645,VideoRay Pro 4 ROV,ExxonMobil,Onne FOT,785.0,94.67,371.3,In Maintenance,Normal
2024-06-15,NSP-4462,VideoRay Pro 4 ROV,Indigenous Oil Co,Onne FOT,4650.0,191.66,62.01,Deployed,Normal
2024-11-09,NSP-6207,Rhino Boat,TotalEnergies,Bonny Island,3810.0,83.67,374.4,Awaiting Repair,Normal
2024-06-15,NSP-5841,Air Compressor 800cfm,Chevron,Escravos,7387500.0,66.51,417.8,Standby,Normal
2024-01-20,NSP-5223,Sub Sea ROV M8,Shell (SPDC),Milaha Barge,4077.0,238.23,269.3,Standby,Normal
2024-06-15,NSP-7981,VideoRay Pro 5 ROV,Chevron,Forcados Terminal,3930.0,97.78,361.0,In Maintenance,Normal
2024-03-02,NSP-9801,Sub Sea ROV M8,ExxonMobil,Forcados Terminal,3183000.0,138.88,169.9,Deployed,Normal
2025-01-28,NSP-7819,VideoRay Pro 4 ROV,Shell (SPDC),Escravos,3181.0,151.22969924812028,426.7,Standby,Normal
2024-11-05,NSP-7122,Air Compressor 800cfm,Chevron,Onne FOT,3427500.0,138.87,73.1,In Maintenance,Normal
2024-03-13,NSP-5197,Rhino Boat,Chevron,Bonny Island,1740.0,152.66852631578945,51.1,Standby,Normal
2024-10-31,NSP-2750,VideoRay Pro 4 ROV,Indigenous Oil Co,Offshore Rig Alpha,0.0,146.21,391.3,Awaiting Repair,Normal
2024-01-25,NSP-9007,Towing Winch,Chevron,Escravos,4142.0,155.44169811320754,364.11,Standby,Normal
2024-08-10,NSP-8980,Offshore Trash Skip,Chevron,Escravos,4997.0,156.69,214.1,Deployed,Normal
2024-06-15,NSP-4241,Air Compressor 800cfm,Chevron,Offshore Rig Alpha,4087.0,193.39,154.23,Standby,Normal
2024-05-20,NSP-4511,Pipe Tracker,ExxonMobil,Onne FOT,1313.0,164.15,265.9,In Maintenance,Normal
2024-06-15,NSP-9173,Sub Sea ROV M8,Shell (SPDC),Onne FOT,6390000.0,99.69,68.37,Deployed,Normal
2024-06-15,NSP-2868,Cargo Basket,Chevron,Onne FOT,6852000.0,97.45,475.1,Standby,Normal
2024-06-15,NSP-2796,Offshore Trash Skip,Shell (SPDC),Onne FOT,1384.0,160.23901408450706,480.8,Standby,Normal
2024-08-28,NSP-5675,Cargo Basket,Indigenous Oil Co,Milaha Barge,1349.0,124.94,151.05,Standby,Normal
2024-12-25,NSP-6370,Towing Winch,Indigenous Oil Co,Milaha Barge,2782500.0,156.26,163.77,In Maintenance,Normal
2024-06-15,NSP-7183,Sub Sea ROV M8,TotalEnergies,Forcados Terminal,3611.0,161.48,307.1,Deployed,Normal
2024-06-15,NSP-6150,Rhino Boat,Chevron,Milaha Barge,2204.0,103.59,482.6,Awaiting Repair,Normal
2024-06-15,NSP-3064,VideoRay Pro 5 ROV,Chevron,Bonny Island,0.0,179.72,327.6,Awaiting Repair,Normal
2024-06-15,NSP-2887,120kva Generator,ExxonMobil,Milaha Barge,4026.0,210.45,96.1,Awaiting Repair,Normal
2024-06-15,NSP-9476,120kva Generator,ExxonMobil,Bonny Island,1385.0,146.63626666666667,442.2,Standby,Normal
2024-06-15,NSP-8266,Air Compressor 800cfm,Indigenous Oil Co,Onne FOT,3604.0,186.61,173.1,Standby,Normal
2024-11-10,NSP-5116,Offshore Trash Skip,Indigenous Oil Co,Escravos,3655.0,204.0,118.0,Awaiting Repair,Normal
2024-06-15,NSP-2607,VideoRay Pro 4 ROV,ExxonMobil,Offshore Rig Alpha,1433.0,153.71,439.0,Deployed,Normal
2024-06-15,NSP-4224,VideoRay Pro 5 ROV,Shell (SPDC),Offshore Rig Alpha,0.0,138.53,327.5,Awaiting Repair,Normal
2024-01-09,NSP-7154,Towing Winch,Indigenous Oil Co,Onne FOT,616.0,248.14,488.6,Deployed,Normal
2024-06-15,NSP-3720,120kva Generator,Chevron,Milaha Barge,2076.0,130.75,274.5,Awaiting Repair,Normal
2024-12-08,NSP-2895,Towing Winch,TotalEnergies,Forcados Terminal,1417.0,181.61,68.5,Standby,Normal
2024-01-09,NSP-9442,Towing Winch,TotalEnergies,Bonny Island,1939.0,101.06,331.4,Awaiting Repair,Normal
2024-11-09,NSP-4427,Cargo Basket,Indigenous Oil Co,Forcados Terminal,0.0,117.43,148.6,Standby,Normal
2024-06-15,NSP-7236,VideoRay Pro 4 ROV,Shell (SPDC),Bonny Island,1161.0,125.81,86.7,Deployed,Normal
2024-06-07,NSP-2394,Rhino Boat,Chevron,Offshore Rig Alpha,3279.0,71.91,269.0,Deployed,Normal
2024-08-24,NSP-1001,Rhino Boat,Indigenous Oil Co,Forcados Terminal,3414.0,250.09,334.6,In Maintenance,Normal
2024-11-13,NSP-6543,Rhino Boat,ExxonMobil,Bonny Island,3655.0,168.71,345.5,Deployed,Normal
2024-06-15,NSP-6895,Cargo Basket,TotalEnergies,Bonny Island,769.0,145.66,115.6,Deployed,Normal
2024-06-15,NSP-1956,Towing Winch,ExxonMobil,Milaha Barge,3234.0,169.1,440.43,In Maintenance,Normal
2024-06-15,NSP-5585,Cargo Basket,ExxonMobil,Forcados Terminal,1558.0,171.5,278.25,In Maintenance,Normal
2024-10-25,NSP-2969,VideoRay Pro 5 ROV,Chevron,Bonny Island,4368.0,44.95,112.89,Standby,Normal
2024-06-12,NSP-7257,Air Compressor 800cfm,Chevron,Onne FOT,3026999.9999999995,296.89,475.1,In Maintenance,Normal
2024-08-19,NSP-9133,Rhino Boat,Shell (SPDC),Onne FOT,3572.0,231.67,346.0,Deployed,Normal
2024-09-25,NSP-4553,Sub Sea ROV M8,Chevron,Forcados Terminal,1482000.0,92.68,466.6,Deployed,Normal
2024-06-15,NSP-2440,VideoRay Pro 4 ROV,Shell (SPDC),Onne FOT,1321.0,216.91,221.2,Standby,Normal
2024-06-15,NSP-2177,Rhino Boat,Shell (SPDC),Bonny Island,3389.0,229.32,478.2,Deployed,Normal
2024-06-15,NSP-6243,Offshore Trash Skip,Shell (SPDC),Bonny Island,1443.0,158.97,243.9,Standby,Normal
2024-11-19,NSP-8311,120kva Generator,Chevron,Bonny Island,1463.0,241.04,411.4,In Maintenance,Normal
2024-06-15,NSP-6047,Cargo Basket,ExxonMobil,Bonny Island,6045000.000000001,122.98,407.04,Awaiting Repair,Normal
2024-05-11,NSP-1009,Rhino Boat,Chevron,Onne FOT,5157000.0,175.68,317.1,Deployed,Normal
2024-06-15,NSP-1482,VideoRay Pro 4 ROV,ExxonMobil,Milaha Barge,1816.0,171.78,394.32,Deployed,Normal
2024-06-15,NSP-6016,Sub Sea ROV M8,Chevron,Escravos,1487.0,194.61,333.9,Standby,Normal
2024-11-18,NSP-8843,120kva Generator,TotalEnergies,Onne FOT,4508.0,178.45,85.86,Awaiting Repair,Normal
2024-10-03,NSP-9258,Air Compressor 800cfm,ExxonMobil,Forcados Terminal,0.0,231.42,172.0,In Maintenance,Normal
2024-11-21,NSP-4374,Air Compressor 800cfm,Shell (SPDC),Milaha Barge,3161.0,114.75,480.18,In Maintenance,Normal
2024-06-15,NSP-7099,VideoRay Pro 4 ROV,ExxonMobil,Onne FOT,4219.0,147.21,228.96,Deployed,Normal
2024-03-24,NSP-3408,120kva Generator,Indigenous Oil Co,Milaha Barge,2266.0,146.63626666666667,103.35,Standby,Normal
2024-06-15,NSP-9435,Offshore Trash Skip,Chevron,Bonny Island,2189.0,151.24,273.6,Standby,Normal
2024-06-14,NSP-5225,Pipe Tracker,TotalEnergies,Milaha Barge,4573.0,152.66779069767443,230.55,In Maintenance,Normal
2024-09-12,NSP-3530,Towing Winch,Shell (SPDC),Offshore Rig Alpha,4759.0,199.6,423.2,Deployed,Normal
2025-01-26,NSP-5349,VideoRay Pro 5 ROV,Chevron,Bonny Island,4723.0,5.59,338.67,Standby,Normal
2024-06-15,NSP-6448,VideoRay Pro 5 ROV,ExxonMobil,Offshore Rig Alpha,4350.0,164.66,243.27,In Maintenance,Normal
2024-06-15,NSP-8870,VideoRay Pro 4 ROV,Indigenous Oil Co,Escravos,2138.0,120.36,431.6,Standby,Normal
2024-06-15,NSP-7793,Sub Sea ROV M8,Chevron,Forcados Terminal,6324000.0,124.63,58.83,Deployed,Normal
2024-08-29,NSP-6827,Sub Sea ROV M8,Chevron,Bonny Island,7152000.0,190.81,170.13,Awaiting Repair,Normal
2024-06-15,NSP-9616,Towing Winch,Shell (SPDC),Milaha Barge,3993.0,84.6,96.0,Awaiting Repair,Normal
2024-04-06,NSP-8340,VideoRay Pro 4 ROV,TotalEnergies,Forcados Terminal,2779.0,187.1,325.95,Awaiting Repair,Normal
2024-03-27,NSP-1147,Rhino Boat,Indigenous Oil Co,Milaha Barge,4076.0,164.96,96.99,Standby,Normal
2024-06-15,NSP-8504,Pipe Tracker,Shell (SPDC),Onne FOT,0.0,209.29,58.83,In Maintenance,Normal
2024-06-15,NSP-6978,Offshore Trash Skip,Chevron,Offshore Rig Alpha,2716.0,185.95,195.57,Deployed,Normal
2024-06-15,NSP-3461,VideoRay Pro 4 ROV,ExxonMobil,Forcados Terminal,2820.0,97.76,325.8,Awaiting Repair,Normal
2024-06-22,NSP-8165,Rhino Boat,Indigenous Oil Co,Offshore Rig Alpha,2067.0,51.68,294.8,Awaiting Repair,Normal
2024-06-15,NSP-5082,Air Compressor 800cfm,ExxonMobil,Forcados Terminal,4851.0,145.28,418.17,In Maintenance,Normal
2024-07-07,NSP-7279,Rhino Boat,Chevron,Milaha Barge,2153.0,145.71,336.3,Awaiting Repair,Normal
2024-12-29,NSP-6132,Pipe Tracker,Shell (SPDC),Bonny Island,2355.0,233.5,134.6,Awaiting Repair,Normal
2024-03-30,NSP-6189,120kva Generator,TotalEnergies,Forcados Terminal,1537.0,169.73,390.3,In Maintenance,Normal
2024-06-15,NSP-2080,Offshore Trash Skip,Indigenous Oil Co,Bonny Island,1513.0,160.23901408450706,328.8,Deployed,Normal
2024-04-01,NSP-4390,Pipe Tracker,TotalEnergies,Offshore Rig Alpha,4931.0,152.66779069767443,269.0,Awaiting Repair,Normal
2024-01-30,NSP-3810,120kva Generator,ExxonMobil,Escravos,1367.0,128.41,90.63,Standby,Normal
2024-04-27,NSP-4471,VideoRay Pro 4 ROV,Indigenous Oil Co,Onne FOT,1783.0,105.7,496.0,Awaiting Repair,Normal
2024-06-15,NSP-9895,VideoRay Pro 4 ROV,Indigenous Oil Co,Bonny Island,3257.0,201.65,133.7,In Maintenance,Normal
2024-06-15,NSP-8710,Air Compressor 800cfm,ExxonMobil,Onne FOT,3339.0,140.25,324.36,Awaiting Repair,Normal
2024-12-29,NSP-6347,120kva Generator,TotalEnergies,Bonny Island,662.0,146.67,430.89,In Maintenance,Normal
2024-06-15,NSP-7342,VideoRay Pro 5 ROV,Indigenous Oil Co,Milaha Barge,0.0,162.26,483.5,In Maintenance,Normal
2025-01-18,NSP-9616,Towing Winch,Shell (SPDC),Milaha Barge,4152.0,83.34,323.8,Deployed,Normal
2024-11-22,NSP-5624,Air Compressor 800cfm,Chevron,Offshore Rig Alpha,3280500.0,270.74,80.5,In Maintenance,Normal
2024-03-05,NSP-5666,VideoRay Pro 4 ROV,Chevron,Escravos,5455500.0,231.63,403.86,Awaiting Repair,Normal
2024-06-15,NSP-2749,Air Compressor 800cfm,ExxonMobil,Bonny Island,1677.0,136.95,142.2,In Maintenance,Normal
2024-06-16,NSP-7744,Cargo Basket,TotalEnergies,Milaha Barge,3919500.0,154.17,97.5,Standby,Normal
2024-06-15,NSP-5654,Rhino Boat,Chevron,Milaha Barge,507.0,194.06,335.6,Awaiting Repair,Normal
2024-09-24,NSP-3307,Air Compressor 800cfm,TotalEnergies,Onne FOT,3424.0,122.67,345.03,Awaiting Repair,Normal
2024-06-15,NSP-9438,VideoRay Pro 4 ROV,TotalEnergies,Forcados Terminal,3615000.0,124.21,498.7,Deployed,Normal
2024-07-14,NSP-6569,Offshore Trash Skip,ExxonMobil,Bonny Island,3569.0,163.55,369.6,Deployed,Normal
2024-08-13,NSP-2715,Pipe Tracker,Chevron,Onne FOT,3481500.0,165.21,95.4,Standby,Normal
2024-06-15,NSP-2089,Towing Winch,TotalEnergies,Bonny Island,1395.0,170.19,106.8,Standby,Normal
2024-06-15,NSP-5628,VideoRay Pro 4 ROV,TotalEnergies,Onne FOT,2031000.0,148.79,147.0,Deployed,Normal
2024-06-15,NSP-7701,VideoRay Pro 4 ROV,ExxonMobil,Forcados Terminal,6657000.0,151.22969924812028,126.1,Awaiting Repair,Normal
2024-05-26,NSP-3946,Offshore Trash Skip,Chevron,Escravos,923.0,167.31,435.66,Deployed,Normal
2024-12-25,NSP-7816,Towing Winch,ExxonMobil,Onne FOT,2031.0,155.44169811320754,168.54,In Maintenance,Normal
2024-08-14,NSP-6374,Towing Winch,Indigenous Oil Co,Offshore Rig Alpha,567.0,135.9,203.2,Deployed,Normal
2024-06-15,NSP-5577,VideoRay Pro 5 ROV,Shell (SPDC),Forcados Terminal,1740000.0,150.71500000000003,459.3,Standby,Normal
2024-11-27,NSP-2478,Towing Winch,ExxonMobil,Bonny Island,905.0,161.92,365.7,Awaiting Repair,Normal
2024-03-07,NSP-9921,VideoRay Pro 5 ROV,TotalEnergies,Escravos,2894.0,118.87,212.8,Awaiting Repair,Normal
2024-02-04,NSP-2325,VideoRay Pro 4 ROV,Shell (SPDC),Offshore Rig Alpha,641.0,159.73,283.02,Awaiting Repair,Normal
2025-01-14,NSP-1855,Cargo Basket,Indigenous Oil Co,Escravos,4328.0,168.87,89.2,Standby,Normal
2024-06-15,NSP-7132,Pipe Tracker,Indigenous Oil Co,Bonny Island,2674.0,140.98,235.0,Deployed,Normal
2024-10-27,NSP-9611,Air Compressor 800cfm,Chevron,Forcados Terminal,1009500.0,157.24,101.5,Standby,Normal
2024-03-24,NSP-5658,VideoRay Pro 4 ROV,Shell (SPDC),Onne FOT,3202.0,119.26,340.9,Standby,Normal
2024-03-24,NSP-6476,Sub Sea ROV M8,Indigenous Oil Co,Offshore Rig Alpha,886.0,148.34,268.7,Deployed,Normal
2024-06-15,NSP-4259,Towing Winch,ExxonMobil,Milaha Barge,2824.0,139.59,173.9,Awaiting Repair,Normal
2024-06-15,NSP-8835,Towing Winch,Indigenous Oil Co,Bonny Island,0.0,136.38,286.6,Deployed,Normal
2024-06-15,NSP-2829,Offshore Trash Skip,Indigenous Oil Co,Milaha Barge,3773.0,146.25,82.3,Awaiting Repair,Normal
2024-07-22,NSP-5458,VideoRay Pro 4 ROV,TotalEnergies,Milaha Barge,2400.0,151.4,95.4,Standby,Normal
2024-10-11,NSP-7139,Sub Sea ROV M8,Shell (SPDC),Onne FOT,4003500.0,170.91,449.8,Deployed,Normal
2024-06-15,NSP-2439,VideoRay Pro 4 ROV,Indigenous Oil Co,Escravos,1801.0,236.63,425.1,In Maintenance,Normal
2024-06-15,NSP-7652,Sub Sea ROV M8,Shell (SPDC),Escravos,858.0,261.57,499.26,Awaiting Repair,High
2024-01-08,NSP-9458,Rhino Boat,Indigenous Oil Co,Bonny Island,4760.0,172.75,109.6,In Maintenance,Normal
2024-06-15,NSP-6867,Sub Sea ROV M8,ExxonMobil,Offshore Rig Alpha,2460.0,188.04,258.2,Standby,Normal
2024-08-15,NSP-2970,VideoRay Pro 4 ROV,ExxonMobil,Forcados Terminal,2954.0,285.8,491.3,Standby,High
2024-06-15,NSP-8661,Offshore Trash Skip,Indigenous Oil Co,Milaha Barge,2884.0,160.23901408450706,447.6,Awaiting Repair,Normal
2024-06-15,NSP-8537,Pipe Tracker,Chevron,Onne FOT,2867.0,118.66,480.18,Awaiting Repair,Normal
2024-06-15,NSP-9448,VideoRay Pro 4 ROV,ExxonMobil,Escravos,2072.0,193.12,396.0,In Maintenance,Normal
2024-01-23,NSP-3130,VideoRay Pro 4 ROV,TotalEnergies,Offshore Rig Alpha,1369500.0,255.47,364.11,Awaiting Repair,High
2024-06-15,NSP-5727,VideoRay Pro 5 ROV,TotalEnergies,Offshore Rig Alpha,1997.0,189.23,176.5,Deployed,Normal
2024-10-21,NSP-8241,VideoRay Pro 4 ROV,Chevron,Bonny Island,1404000.0,224.06,373.9,Awaiting Repair,Normal
2024-06-15,NSP-7919,VideoRay Pro 5 ROV,Chevron,Bonny Island,1511.0,126.07,104.0,Standby,Normal
2024-10-16,NSP-7468,Rhino Boat,ExxonMobil,Onne FOT,0.0,152.66852631578945,427.71,Awaiting Repair,Normal
2024-05-18,NSP-3224,VideoRay Pro 4 ROV,ExxonMobil,Escravos,4732.0,98.36,451.3,Deployed,Normal
2024-05-08,NSP-6904,VideoRay Pro 4 ROV,ExxonMobil,Onne FOT,0.0,176.11,484.7,In Maintenance,Normal
2024-06-15,NSP-2519,Pipe Tracker,Chevron,Offshore Rig Alpha,5035500.0,109.18,439.6,Standby,Normal
2024-06-15,NSP-2772,Towing Winch,Chevron,Onne FOT,3288.0,181.11,446.79,Awaiting Repair,Normal
2024-10-18,NSP-2548,Pipe Tracker,Shell (SPDC),Onne FOT,1439.0,93.06,449.97,In Maintenance,Normal
2024-06-15,NSP-8703,Sub Sea ROV M8,Indigenous Oil Co,Escravos,4096.0,139.1,288.9,Deployed,Normal
2024-07-06,NSP-6818,120kva Generator,Shell (SPDC),Milaha Barge,4714.0,18.06,489.72,Deployed,Normal
2024-11-08,NSP-5402,Towing Winch,Shell (SPDC),Escravos,4525.0,238.55,296.8,Awaiting Repair,Normal
2024-06-15,NSP-6243,Rhino Boat,ExxonMobil,Milaha Barge,1143.0,241.88,321.5,Awaiting Repair,Normal
2024-06-15,NSP-1025,Sub Sea ROV M8,Shell (SPDC),Milaha Barge,1479.0,139.71,138.33,Standby,Normal
2024-09-23,NSP-3606,Sub Sea ROV M8,Shell (SPDC),Offshore Rig Alpha,3983.0,117.5,201.8,In Maintenance,Normal
2025-04-01,NSP-3645,Offshore Trash Skip,Chevron,Offshore Rig Alpha,4192500.0,69.62,356.16,In Maintenance,Normal
2024-08-10,NSP-5958,Pipe Tracker,ExxonMobil,Bonny Island,1616.0,159.24,111.6,In Maintenance,Normal
2024-06-15,NSP-1619,Rhino Boat,TotalEnergies,Forcados Terminal,2993.0,152.66852631578945,330.1,Standby,Normal
2024-06-15,NSP-7976,Sub Sea ROV M8,TotalEnergies,Onne FOT,1429.0,81.84,373.65,Standby,Normal
2024-08-29,NSP-6722,120kva Generator,Indigenous Oil Co,Escravos,4452000.0,87.48,431.6,Deployed,Normal
2024-12-29,NSP-4824,Cargo Basket,TotalEnergies,Bonny Island,1961.0,180.23,70.2,Awaiting Repair,Normal
2024-06-15,NSP-9345,VideoRay Pro 4 ROV,Indigenous Oil Co,Bonny Island,4429.0,170.32,345.03,Awaiting Repair,Normal
2024-06-15,NSP-8423,Towing Winch,TotalEnergies,Escravos,2413.0,71.02,151.2,Deployed,Normal
2024-06-15,NSP-5316,Pipe Tracker,Shell (SPDC),Escravos,2538.0,220.55,273.48,Awaiting Repair,Normal
2024-11-19,NSP-4075,Pipe Tracker,TotalEnergies,Milaha Barge,1890.0,129.73,362.1,Deployed,Normal
2024-06-15,NSP-7534,Offshore Trash Skip,Indigenous Oil Co,Forcados Terminal,1080.0,160.23901408450706,213.0,Awaiting Repair,Normal
2024-06-27,NSP-3749,Offshore Trash Skip,Indigenous Oil Co,Onne FOT,3609.0,192.89,391.6,Awaiting Repair,Normal
2024-07-24,NSP-5538,120kva Generator,Chevron,Offshore Rig Alpha,4099.0,146.63626666666667,295.0,Deployed,Normal
